Dnr,ProjektTitelSv,SammanfattningSv,Formas1,Formas2,Kateg1,Kateg2,Kateg3
2016-20090,VISUAL WATER: En interaktiv visualiseringsplattform för klimatresilient urban dagvattenhantering och planering,"Svenska städer står inför två centrala utmaningar i planeringen och förvaltningen av urbana dagvattensystem: att hantera effekter av klimatförändringar i alltmer tättbebyggda städer samt skapa sido-nyttor och undvika negativa bi-effekter av olika anpassningsåtgärder.  Föreliggande projekt syftar till att utveckla en web-baserad interaktiv visualiseringsplattform  VISUAL WATER  som skall stödja städers dagvatten- och översvämningshantering genom att koppla dessa anpassningsprocesser till ett bredare stadsplaneringssammanhang. Den föreslagna visualiseringsplattformen kommer att vara fritt tillgänglig och stödja professionella användare genom att interaktivt länka spridd information och underlätta kunskapsförmedling mellan olika sektorer, städer och nationella myndigheter.  Plattformen kommer att främja proaktiv planering och implementering genom att: 1) stödja platsspecifik analys av förväntade effekter av klimatförändringar och vattenrelaterade risker, 2) underlätta analys av behov, anpassningsalternativ och p",6,,NULL,(tom),(tom)
2016-20092,Miljövänlig och kloridbeständig Cementbaserade Bindemedel (EKloro-Cem),"Beständigheten hos betong, som ett av de mest använda byggnadsmaterialen, är av största vikt för hållbarheten och säkerheten hos ett samhälles infrastruktur. Ett sätt att bemöta dessa utmaningar är att använda industriavfall som cementliknande tillsatsmaterial (SCM) som del av bindemedlet och framställa betong med lägre klinkerinnehåll. En nyhet är användningen av ternära bindemedel, som består av cement och två olika SCM. Tanken är att förstärka positiva effekter från båda tillsatsmaterialen för öka betongs hållbarhet och beständighet. Idag saknas den nödvändiga kunskapen om hur bindemedel med flera SCM kan kombineras för att uppnå önskade egenskaper hos betongen. Projektet studerar ternära bindemedel. Fokus ligger på hydratiseringen och betongens förmåga att binda klorid från omgivningen (t.ex. havsvatten). Kloridbindningen är avgörande för beständigheten eftersom klorider i stor utsträckning är ansvariga för betongens nedbrytning på grund av armeringskorrosion. En bättre förståelse av kloridbindningsmekani",12,,NULL,(tom),(tom)
2016-20097,Implementing the compact city: a critical perspective on the transfer of best practices,"Den kompakta staden har förts fram som den bästa stadsmodellen för en hållbar utveckling. Begreppet har dock en tendens att tillämpas på ett ytligt sätt genom att olika stadsutvecklingsexempel vandrar från stad till stad som ?best practice? (BP), utan att man tar hänsyn till lokal egenart och mångfald. Då erfarenheterna från sådan kunskapsöverföring är blandade kan man inte ta för givet att BPs utan vidare kan föras över från en plats till en annan. Det finns en kunskapslucka angående den verkliga relevansen av BPs i andra och annorlunda miljöer och även hur man bäst kan implementera dem. Det här projektet syftar till att förstå de faktorer och förutsättningar som leder till ett framgångsrikt genomförande av BPs som stödjer kompakta städer, och identifiera de lokala drivkrafter som stödjer sådana faktorer/förutsättningar. Den teoretiska grunden är en blandning av relationell materialism och system tänkande (DPSIR) och tillämpar blandade fallstudiemetoder, som analys av statistik och dokument, intervjuer och observationer i städer i Storbritannien och Sverige. Projektet utvecklar ett ramverk för förståelse och hantering av de drivkrafter som påverkat hur överföring av BPs kan ske till nya sammanhang. Ramverket blir användbart för offentlig förvaltning och andra intressenter. Resultaten kommer att presenteras vid öppna seminarier, internationella konferenser, genom sociala medier och en projekthemsida, samt genom två vetenskapliga artiklar i tidskrifter med open access.",11,,NULL,(tom),(tom)
2016-20098,Trädetablering i framtida urbana klimat - bestämning av kritiska värden för vattenstress och test av övervakningssystem för sköt,"Urbana träd har stor betydelse för städers hållbara utveckling, men har idag svårt att överleva etablering och att utvecklas långsiktigt, på grund av främst vattenstress, orsakad av försämrade växtförutsättningar och illa anpassat växtmaterial. Det rådande förtätningsidealet och klimatförändringar är viktiga bakomliggande faktorer till den minskade vitaliteten i träd i städer idag. Samtidigt förstärks behovet av många av de ekosystemtjänster som genereras av stadsträd då förtätningen medger mindre utrymmen för parker och klimatförändringar innebär stigande temperaturer. Det finns alltså ett tydligt behov av att förbättra stadsträds etableringsfrekvens och långsiktiga utveckling. Syftet med projektet är att leverera kunskap om bättre anpassade trädarter för urbana situationer och att förbättra skötseln av dessa. Målsättningen är att hitta kritiska nivåer för vattenstress hos ett antal intressanta typarter, både idag förekommande och underanvända i stadsmiljö. Intressanta arter kommer att grupperas utifrån teoretiska modeller av tolerans. Målsättningen är också att utvärdera system för att övervaka vattenhalter i marken så att en hel stads trädbestånd kan övervakas och skötseln därmed preciseras. Denna nya kunskap kommer att skapa förutsättningar för en högre artdiversitet i stadsmiljö, samt för att kontrollera trädens vattenstatus så att nödvändiga åtgärder kan vidtas, preciserade efter olika arters behov. Detta är viktiga steg för en hållbar grön utveckling av städer.",11,,NULL,(tom),(tom)
2016-20099,Multidisciplinär karaktärisering och övervakning av insitu sanering av mark förorenad med klorerade kolväten (MIRACHL),"För att möta framtidens utmaningar med hållbar stadsplanering sker byggande av nya bostäder via förtätning i gamla industriområden som ofta är förorenade. Det finns en växande oro för de 2000 områden i Sverige som är förorenade med cancerframkallande klorerade kolväten (kemtvättar och industriella lösningsmedel). Huvudsaklig saneringsteknik idag är kostsam och mikro-ekologiskt skadlig utgrävning och deponering, dvs flytta föroreningar från en plats till en annan. Denna strategi har kritiserats eftersom det leder till mycket transporter och exponeringen av farliga föreningar. SNV rekommenderar användning av in-situ metoder men det hämmas av osäkerhet om hur bra utfallet blir. Ökad användning av in situ-sanering kommer att leda till stora kostnadsbesparingar, bidra till EU:s vattendirektivs krav samt att nå våra nationella miljömål.I detta projekt föreslår vi en integrerad övervakning med geofysiska, biogeokemiska och isotopspecifika metoder för att bättre förstå och följa in situ-saneringsprocesser. Kontinuerliga geofysiska observationer under saneringen tillsammans med biogeokemiska provtagningar och analyser kommer möjliggöra att följa utvecklingen i undermarken.Idag är övervakningen av saneringsåtgärder och bedömning av ""tillräckligt bra"" mycket osäker på grund av undersökning med punktövervakning. Vår kombinerade metodik kan ge en heltäckande bild av förändringen i marken, minska osäkerheter och kostnader för övervakning och uppföljning av in situ-sanering.",12,,NULL,(tom),(tom)
2016-20101,Mångfunktionella utomhusmiljöer som främjar hälsa och hållbarhet: en studie av  samverkansprocesser för stärkta ekosystemtjänste,"Vilken roll spelar multifunktionella urbana utomhusmiljöer för att förstärka ekosystemtjänster, hälsa och välbefinnande? Region Jönköpings län har inlett en forskningsgrundad intervention för att förbättra förskolors utomhusmiljöer. Skogsträdgårdar, perenna odlingssystem med vegetation i flera skikt, är exempel på utomhusmiljöer som anläggs för att vara robusta, skötselsnåla och resilienta och som genererar såväl försörjande ekosystemtjänster - frukter, bär och ätbara blad som stödjande ekosystemtjänster- skydd mot UV-ljus, förbättrad luftkvalitet, vattenreglering och kolbindning. De genererar också kulturella ekosystemtjänster - rekreation, välbefinnande, möjligheter till lek, rörelse och lärande och de kan bidra till gemensamt skapande i närmiljön. Vi vill studera design och implementering av regionens intervention för att undersöka vilken betydelse förskolors arbete med skogsträdgårdar kan ha för att främja ekosystemtjänster - och därmed hälsa och välbefinnande - på både kort och lång sikt. Genom flera delstudier kommer vi att följa både resultat och sociala processer. I samarbete med Riksbyggen kommer 15 ekosystemtjänster att bedömas vid varje förskola, före och efter interventionen. Vi kommer att genomföra observationer, visionsverkstäder och samtalspromenader med barn samt enkäter och fokusgruppsintervjuer med vuxna. Resultat kommer kontinuerligt att återföras till deltagarna i interventionen i syfte att förbättra både utomhusmiljöerna och förbättringsproceduren.",11,,NULL,(tom),(tom)
2016-20102,Hållbar transport av gods med tåg i bebyggd miljö,"För att göra godstransporterna i Europa mer miljövänliga måste andelen gods som transporteras på järnväg öka. I ?White paper for transporter i Europa, 2001? förutsägs att andelen gods som transporteras på det europeiska järnvägsnätet kommer att öka från ca 8% år 2001 till 15% år 2020. Då järnvägslinjer redan är hårt belastade med persontrafik kommer mycket av godstransporterna att behöva ske nattetid. Därför är det viktigt att godstrafikens negativa effekter i form av sömnstörning och annan hälsopåverkan av buller och vibrationer för de kringboende minimeras. I Sverige är problemet med vibrationer extra påtagligt, det är vanligt med mjuka marktyper som gör att vibrationerna sprids till närliggande bostäder. I EU projektet Cargovibes, påvisades samband mellan störning och vibrationsnivåer bland boende längs järnväg. Vibrationer från simulerade godstågspassager påverkade vidare fysiologiska reaktioner under sömn. Det finns hittills inga studier av hur hälsan påverkas av under lång tid vara utsatt för vibrationer från tågtrafik. I samarbete med Trafikverket  har vi tillgång till en unik databas med 2000 mätningar av vibrationer i fastigheter runt om i Sverige. De långsiktiga effekterna på hälsan hos boende undersöks med epidemiologiska metoder. van Kempen är internationellt erkänd expertis inom miljöepidemiologi, och projektet kommer att ha stor nytta av hennes kunskaper. Maclachlan är läkare medfolkhälsoinriktning och intresserad av sambandet mellan hälsa och miljöpåverkan.",9,,NULL,(tom),(tom)
2016-20103,Upphandling för hållbart stadsbyggande,"Majoriteten av världens befolkning bor i städer. I Sverige är den siffran 85 %. Hur vi utvecklar och bygger våra städer är därmed avgörande för hur våra samhällen utvecklas. En viktig faktor i utvecklingen av städer och samhällen är hur beställare upphandlar leverantörer. Inom stadsbyggande har byggherren stor möjlighet att påverka leverantörer och leverantörernas sätt att agera genom sina upphandlingsstrategier. Beroende på vilken upphandlingsstrategi som används skapas olika möjligheter och drivkrafter för leverantören att till exempel agera miljövänligt, säkert och innovativt.  I det här projektet studeras upphandling i Norra Djurgårdsstaden. Norra Djurgårdsstaden är utsedd att verka som internationell förebild för hållbart stadsbyggande och ingår till exempel i Climate Positive Development Program. För vara en intressant förebild krävs innovativa lösningar och processer. En sådan innovativ process är bygglogistikcentret som etablerats i Norra Djurgårdsstaden. Målet är att bygglogistikcentret ska bidra till att minska miljöpåverkan, öka säkerheten och öka effektiviteten. Men, det räcker inte att en processinnovation etableras, det måste också utvecklas möjligheter och drivkrafter för aktörerna att vilja använda innovationen.  Genom att undersöka byggherrarnas upphandlingsstrategier, och hur de påverkar entreprenörernas möjligheter och drivkrafter att använda bygglogistikcentret, skapas ny kunskap om hållbar stadsbyggnad.",11,,NULL,(tom),(tom)
2016-20106,"Urbant medborgarskap mellan delaktighet och säkerhet, En studie av de multietniska områderna i Frankrike och Sverige","Syftet med forskningsprojektet är att undersöka lokala utvecklingsstrategier i Europas urbana multietniska områden och mer specifikt att analysera modeller för delaktighet och förebyggande åtgärder, som motvikt till sociala spänningar och upplopp. I min avhandling argumenterade jag för att dessa metoder för boendes delaktighet och för att förebygga otrygghet utgör två motstridiga normer inom institutionerna, som blir problematiska när man ser hur medborgarskapet gestaltas i utsatta områden. Å ena sidan förespråkar de urbana strategierna metoder som ska främja de boendes involvering, men å andra sidan kommer de förebyggande åtgärderna snarast att fungera som repressiva säkerhetsmekanismer. Resultatet blir att de boende misstror de urbana program som ska främja deras delaktighet. Det empiriska arbetet för avhandlingen utgjordes av en kvalitativ studie av två områden i Frankrike. Det postdoktorala projektet fortsätter denna undersökning genom att jämföra det franska fallet med två utvecklingsprojekt i Sverige. G",16,,NULL,(tom),(tom)
2016-20107,Ett dialogverktyg för visualisering av miljödata i stadsplaneringsprocesser ur ett fotgängarperspektiv,"I dagens samhälle finns det ett ökat behov av kontinuerlig dialog mellan olika intressenter om stadsutveckling, med start tidigt i planeringsprocessen. Digitala verktyg, som simulering och visualisering av framtidsscenarier, används alltmer för att stödja dessa processer. Potentialen hos dessa verktyg anses vara hög, men för att kunna implementera dem behöver 3D-mediet utvecklas. Tillgängligheten till den enorma mängden miljödata i samhället är låg. Osynliga miljövärden såsom meteorologiska förhållanden, luftföroreningar och buller är svåra att presentera på ett begripligt sätt, och därmed svåra att greppa. Som en följd får dessa faktorer ofta låg prioritet i stadsplaneringsprocesser. Vårt mål är att utveckla  dialogverktyg för att visualisera miljödata till olika aktörer inom dessa planeringsprocesser, för att ge ökad förståelse för dessa frågor. Vi kommer att utveckla och utvärdera olika designkoncept för visualisering av varierande typer av osynliga miljöfaktorer, med fokus på vind, solstrålning, luftföroreningar och buller, vilka ska visas i en interaktiv 3D-stadsmodell, framförallt från ett gatuperspektiv. Projektresultat kommer att kunna stödja dialoger mellan aktörer i planeringsprocesser. De kan även tillämpas på andra områden t.ex. hälsa, social jämlikhet, säkerhet och urbana rumsliga kvaliteter. Ett visuellt planeringsverktyg av detta slag kan också användas vid lokalt klimatarbete, t.ex. för att förutsäga olika scenarier kopplade till klimatologiska faktorer.",11,16,NULL,(tom),(tom)
2016-20109,Är samverkan med lokalsamhället en väg för arkitekter och byggherrar att skapa hållbara bostäder för seniorer?,"Samhället står inför en utmaning på grund av en åldrande befolkning samt en brist på bostäder som motsvarar äldres behov. I Sverige beräknas antalet personer över 65 år ha ökat med närmare en halv miljon till år 2030, vilket ökar behovet av bostäder för målgruppen. I syfte att bidra till en socialt hållbar boendemiljö på lokal nivå är det vanligt att samhällsplanerare använder sig av dialoger som metod. Men detta är mindre vanligt bland byggherrar och arkitekter som ansvarar för planeringen av nya bostäder i ett område. Frågan är om och hur dessa aktörer väljer att samarbeta med lokalsamhället (inklusive seniorer) samt om en dylik samverkan bidrar till att ökad hållbarhet i boendemiljön. Projektets övergripande syfte är att undersöka om samverkan med lokalsamhället är ett sätt för arkitekter/byggherrar att skapa ett hållbart boende för seniorer. Projektet baseras på tre exempel som har valts ut för att illustrera olika sätt att samverka på i skilda kontext. Gemensamt för dem är att samtliga handlar om bostäder för personer över 70 år. Projektet kommer att bidra med kunskaper användbara vid planering av ett hållbart boende för seniorer. Ett resultat av projektet kommer att bli en handbok med praktisk vägledning för byggherrar, arkitekter och planerare. Projektet kommer även bidra till vetenskaplig kunskap om huruvida samarbete med lokalsamhället bidrar till att skapa hållbara boendemiljöer för seniorer.",11,,NULL,(tom),(tom)
2016-20114,Naturvårdsnyttan med hänsynsytor - från mönster till processer,"Det finns ett stort behov att kombinera bevarande av biologisk mångfald och produktion av biomassa i boreala skogar. Hänsynsytor som sparas på hyggen är numera en utbredd och accepterad naturvårdsåtgärd inom skogsbruk i Norden och runt om i världen, med potential att främja biologisk mångfald och naturvärden på en global skala. Trots detta finns förhållandevis lite kunskap om betydelsen av hänsynsytornas storlek och läge för att främja biologisk mångfald och naturvärden i brukade skogar långsiktigt. Målet med detta projekt är att förbättra situationen i nära dialog med skogsförvaltare och tillsammans anlägga ett experiment enligt BACI-metoden (före-efter-kontroll-inverkan) för att långsiktigt undersöka hur variation i hänsynsytans storlek, beståndsstruktur, markfuktighet och klimatologiska kanteffekter påverkar (1) abundans, artsammansättning, överlevnad, tillväxt, vitalitet och etablering av mossor och vedlevande svampar i och utanför hänsynsytan, (2) sammansättningen av vedsvampsamhällen och deras ved-ned¬brytande förmåga, samt (3) ta fram riktlinjer för vilken storlek, beståndsstruktur och markfuktighet som gör att hänsynsytor kan fungera som ""livbåtar"" för arter från den tidigare, äldre skogen. Vi är speciellt intresserade av att undersöka hur arternas överlevnad och etablering påverkas av deras bevarandestatus och funktionella egenskaper (ex. nichebredd, klimattolerans) men också hur den totala funktionella mångfalden påverkas av hänsynstornas storlek och läge.",15,,NULL,(tom),(tom)
2016-20117,Nya gröna material och funktionella kemikalier från hemicellulosa genom enzymatisk förädling,"Den dominerande hemicellulosan i barrved är galaktoglukomannan (GGM) som utgör 25% av torrvikten. GGM i sig har idag ingen användning. Målsättningen är att utveckla ny separations- och enzymteknologi för att skapa nya material (förpackningsfilmer, polymerer) och kemikalier (tensider) baserade på GGM. Egna enzymer (glykosid hydrolaser, oxidaser) och sådana framtagna av företag kommer användas för få fram funktionellt modifierad GGM. GGM utvinns med membranfiltrering ur en avfallsström från en massa-process. GGM modifieras funktionellt med enzymteknologi. GGM-strukturen passar väldigt väl för att skapa nya polymera egenskaper. Dess huvudkedja bestående av glukomannan är substituerad med galaktos som kommer klyvas av enzymatiskt för att ge en förbättrad film. Med ett annat enzym (beta-mannanas) kan nya kemiska grupper (acceptorer) kopplas terminalt till GGM med hjälp av transglykosylering. GGM-sackarider kopplas till långa alkoholer (för att ge tensider) och till reaktiva akrylatföreningar (för radikalpolymerisation). Dessa helt nya, innovativa, produkter kommer upprenas (C18 HPLC) och karakteriseras (mass spektrometri, NMR-struktur, yt- och material-egenskaper) samt utvärderas. Flera beta-mannanaser kommer screenas och optimala enzymreaktorer tas fram baserat på selektivitet, synteshastighet och utbyte. Projektet omfattar hela värdekedjan från massaprocess, GGM-utvinning till enzymatisk processning och produktutvärdering med företagspartners i varje del.",12,,NULL,(tom),(tom)
2016-20118,Integrering av förnybara elsystem med biomassasektorn: med fokus på extrema meteorologiska händelser,"Bioenergi kan ge möjligheter att underlätta integrering av intermittent förnybar elproduktion i elsystemet, t.ex. genom bioraffinaderier som producerar elektrobränslen. Vi kommer tillämpa en modellbaserad metod för att undersöka vilken roll tekniklösningar för användning av skogsbiomassa kan spela i elsystem med höga andelar intermittent förnybar elproduktion. I synnerhet utvärderar vi hur omvandlingstekniker för biomassa kan användas för att hantera extrema meteorologiska händelser i dessa system. Eftersom befintliga energisystemsmodeller saknar den spatiala och/eller temporala detaljnivå som krävs för att kunna angripa forskningsproblemet utvecklar vi en ny integrerad modell baserad på de existerande modellerna BeWhere (biomassasystem) och COPA (förnybara elsystem). Modellen tillämpar vi sedan på olika framtidsscenarier för Sverige. För att kunna utvärdera olika integreringsalternativ spelar spatial såväl som temporal upplösning en viktig roll och i modellutvecklingen balanserar vi därför beräkningsbarhet mot resultatkvalitet. Forskarna i projektgruppen har gemensamt varit delaktiga i utvecklingen av BeWhere-modellen och har samtidigt kompletterande kompetenser med avseende på modellering av biomassa- och elsystem med stor andel förnybart. Detta projekt genomförs som ett internationellt samverkansprojekt, som kommer att gynnas av deltagarnas respektive styrkor. Samtidigt kommer projektet bidra till en intensifiering av utbytet mellan forskargrupperna.",7,,NULL,(tom),(tom)
2016-20119,Biobaserade Multifunktionella Material och Additiver från Spannmåls Biprodukter,"Spannmålsförädling genererar stora volymer av biomassabiprodukter som innehåller värdefulla polysacckarider (hemicellulosor) och fenolyska ämner (feruloylsyra). I detta projekt kommer vi att utveckla multifunktionella biobaserade material (filmer, hydrogeler) och additiver (mjukgörare) ifrån de isolerade biomolekylerna från vete, korn och havre biprodukter (kli, skal och halm). Vi kommer att designa ett integrerat bioraffinaderi begrepp genom att kombinera selektiva enzymer med högt vattentryck extraktion för att isolera polymera och oligomera ferulyserad arabinoxylaner (F-AX) med bibehållna antioxidanta och UV aktivitet. Våra F-AX fraktioner ska modifieras genom milda kemoenzymatiska processer för att skräddarsy deras film- och gelbindande förmåga. Biobaserade mjukgörare kommer att produceras från de lågmolekylära oligosacckarider. Biobaserade filmer och hydrogeler ska utvecklas, som kombinerar excellenta barriäregenskaper, mekanisk hållfasthet och reologiska egenskaper, med deras inhemska funktionaliteter som antioxidanter och UV-absorberande. De utvecklade produkterna kommer att valideras mot deras potentiella användning som aktiva livsmedelsförpackningar, förtjocknings- och bindemedel, och mjukgörare i ersättning av fossilbaserade alternativ. Projektet ska skapa den vetenskapliga kunskapen för att implementera en värdekedja från spannmålsbiprodukter till högvärdiga biobaserade produkter med multifunktionella egenskaper, som bidrar till en effektiv användning av resurser.",12,,NULL,(tom),(tom)
2016-20123,Anpassning av byggnader och energisystem till osäkra framtida förhållanden - Bedömning förnybara energikällor och klimatförändri,"Projektet är utformat på ett sådant sätt att kombinera nuvarande kunskap och erfarenheter hos den sökande och att använda dem som en grund för att utöka sin forskning mot nyare områden, öppnar nya dörrar inom området. Detta projekt avser att utöka bedömningen av klimatpåverkan från att bygga skala, till urban skala, bedöma sannolika framtida förhållanden för energisystem i kombination med byggnader i stadsområden. Mer än klimatförändringarna kommer flera osäkerhetsfaktorer och påverkande faktorer som kan påverka och forma framtidens energilösningar betraktas såsom befolkningstillväxt och intensifierad urbanisering, tekniska framsteg, användarbeteende och etc. energiprestanda stadsområden kommer att bedömas noggrant genom modellering energi systemet liksom byggnader som efterfrågan / generationens noder i energinät. Potential för att integrera mer förnybar energi i energisystemet kommer att kvantifieras och motståndskraft och tillförlitlighet av energisystemet kommer att bedömas med tanke på viktiga osäkerheter och extrema förhållanden under flera tidsperioder. Mer än centraliserade energisystem kommer flera decentraliserade lösningar, såsom energy-hub och virtual power plants beaktas i bedömningen. Genom att anta en probabilistiska analyser, kommer resultat ger en helhetsbild om sannolika framtida förhållanden medan det är möjligt med hjälp av flermålsoptimering och beslutsverktyg för att få en samlad bedömning av framtida energiscenarier i stadsområden.",7,11,NULL,(tom),(tom)
2016-20126,Offentliga upphandlingsstrategier för hållbar utveckling i infrastruktursektorn,"Infrastruktursektorn, i Sverige och Europa, genomgår en omfattande förändring på grund av ökade behov och krav att främja innovation och hållbar utveckling. Beställarna och deras upphandlingsstrategier utgör kärnan i detta förändringsarbete eftersom dessa påverkar leverantörernas möjligheter och drivkrafter till utveckling av nya produkter och produktionsmetoder. Syftet med forskningsprojektet är att studera hur beställares upphandlingsstrategier kan utformas och implementeras för att främja hållbar utveckling baserad på både kortsiktig effektivitet (ständiga förbättringar av befintlig kunskap och teknik) och långsiktig innovation (radikal utveckling av ny kunskap och teknik).Trafikverket (TRV) är den största beställaren i den svenska infrastruktursektorn och har en unik möjlighet att som förändringsagent driva utvecklingen. TRV har initierat ett förändringsarbete genom att implementera tre nya olika typer av upphandlingsstrategier för att stärka leverantörernas möjligheter och drivkrafter till innovation och hållbar utveckling. Forskningsprojektet är indelat i fyra delstudier där de tre första studierna utvärderar varsin av TRVs upphandlingsstrategier. Den fjärde studien kompletterar de övriga genom att fokusera på hur miljö och sociala aspekter kan beaktas i förfrågningsunderlag och anbudsutvärdering vid offentlig upphandling. Målet med projektet är att utvärderingens resultat ska främja vidareutveckling av dessa och framtida upphandlingsstrategier.",9,,NULL,(tom),(tom)
2016-20128,"Smarta hållbara kontor - ett verkligt ""arbetslab"" som demonstrator för framtidens kontorsmiljö på Johanneberg Science Park etapp","Den byggda miljön är central för att minska både utsläpp av CO2-eq och begränsa resursförbrukning. Då människor tillbringar mer än 80 % av sin tid inomhus krävs skapandet av nya strategier för kontorsarbete för att minska miljöpåverkan och social ojämlikhet vilket innebär en möjlighet att introducera nya idéer och teknik i en marknad som är i behov av innovation. Smarta hållbara kontorsprojektet syftar till att testa sambanden mellan inomhusmiljön, kvalitetsparametrar och välbefinnande i för faktiska kontorsscenarion genom att utföra empiriska studier i verkliga demonstrationsförhållanden. Projektet kombinerar mänskliga faktorer med byggteknik för att bygga en ""Working Lab som en demonstratör för framtidens kontorsarbetsmiljö"" och kommer att bana väg för en ny generation av användarorienterade, energieffektiva och koldioxidsnåla kontor och ytterligare ge möjlighet att testa och visa senaste forskningsresultaten parallellt med utvecklingen av ett nytt certifieringssystem för framtidens smarta och hållbara kontor. Working Lab konceptet avser att underlätta för och främja öppna system och innovationssatsningar genom att erbjuda en co-creation plattform för experiment. Co-creation kan ses som en process som möjliggör för pågående interaktion mellan partners, kunder och användare, vilket bidrar till samarbete och främjar innovation.",12,11,NULL,(tom),(tom)
2016-20129,Säkert och energieffektivt tappvarmvatten - kontroll av Legionella i biofilm genom innovativ implementering av begränsade vatten,"Optimering av energianvändning är en central aspekt i ett hållbart samhällsbyggande. En viktig bidragande faktor för effektivisering av energi är temperaturen på tappvarmvattnet. Den optimala temperaturen är ofta en kompromiss mellan energianvändning och mikrobiell säkerhet, framför allt risken för Legionella vid temperaturer lägre än 50 °C. De saneringsmetoder som används idag för att hantera förekomst av Legionella i vattenledningssystem är varken särskilt effektiva eller skonsamma mot installationerna. Det finns därför ett behov av att utveckla alternativa lösningar. I nya byggnader och vid ombyggnad är det viktigt att designa tappvarmvattensystem optimalt för att minimera både energianvändandet och risken för Legionella. En metod som prövats framgångsrikt i Tyskland och Danmark innebär användande av en liten volym tappvarmvatten (max 3 liter) som värms upp vid behov, d.v.s. då det tappas ur kranen. Ytterligare studier är nödvändiga för att kunna utvärdera möjligheten för implementering av denna metod unde",6,3,NULL,(tom),(tom)
2016-20131,Prognos av svenska byggnaders laststyrning,"Denna ansökan behandlar frågan om hur det svenska byggnadsbeståndet genom laststyrning, kan bidra till minskade effekttoppar i elnätet och balansering av förnybar energi.Laststyrning har fått ökad uppmärksamhet de senaste åren och det råder medvetenhet om utmaningarna i framtidens elnät, med mycket högre andel förnyelsebara energikällor, dvs mer svårstyrd intermittent energi såsom vind- och solenergi. Laststyrning ses som en del av lösningen för att hantera toppbelastning och balansering av nätet. Utredningar för att hantera dessa kommande utmaningar görs både bland forskare samt andra aktörer. Dock saknas fortfarande en fundamental analys på nationell nivå kring hur stora dessa utmaningar faktiskt kommer att bli i Sveriges fall. Detta projekt syftar till att utveckla ett holistiskt prognosverktyg som ska användas för att analysera frågor som:- Om och när kommer Sverige att ha ett behov av laststyrning? - Hur mycket lastminskning, lastökning samt lastförskjutning kan tillhandahållas elnätet genom last",7,,NULL,(tom),(tom)
2016-20135,Hållbar och etisk anpassning till stigande havsnivåer (SEA-RIMS),"En påtaglig effekt av den globala uppvärmingen är att havsnivån stiger. Havsnivåhöjningen innebär en enorm samhällsutmaning. Stora och långsiktiga förändringar av det slag som havsnivåhöjningen innebär är erkänt svåra att hantera i samhällsplaneringen eftersom beslutstattandet kräver långa planeringshorisonter, omgärdas av stora osäkerheter och ofta innebär att olika typer av målkonflikter behöver hanteras över tid och på olika institutionella nivåer. I det här projektet tar vi fram kunskap och verktyg som hjälper beslutsfattare i Sverige att fatta långsiktigt hållbara och etiskt godtagbara beslut i frågor som berör anpassning till den pågående havsnivåhöjningen: Vilka etiska och sociala aspekter aktualiseras vid beslut om markanvändning som berörs av havsnivåhöjningen (t ex ska mark och bebyggelse skyddas, exploateras eller överges)? Vilka anpassningsalternativ står till buds och vilka tänkbara fördelningskonsekvenser innebär de? Vilken kunskap behöver lokala/regionala samhällsaktörer för att fatta välgrundade beslut? Hur kan visualiseringsverktyg (t ex GIS-verktyg, scenarioverktyg) underlätta beslutsfattandet? Havsnivåhöjningen har hittills varit en relativt osynlig fråga, både inom samhällsplaneringen och den akademiska forskningen. Projektet kommer att synliggöra problematiken samt ge stat, kommuner och vanliga människor bättre beredskap att hantera riskerna med stigande havsnivåer.",13,11,NULL,(tom),(tom)
2017-00017,Eutrofiering hotspots från biogeokemiska förvandlingar och biotillgänglighet av organisk fosfor,"Detta projekt strävar efter att ta itu med den nuvarande bristen på förståelse när det gäller vilken P fraktioner inom fluviala och flodbädd sediment är mer biotillgängligt och därmed försämra vattenkvaliteten. Specifikt fokus är på effekten av organiska P och humus metall P komplex pooler från fluvialt sediment. Samtidigt kommer en prediktiv förståelse för biogeokemiska transformationer och flöde av sediment bunden P utvecklas som sedan kan matas in i prediktiva, avrinningsområde-skala biogeokemiska hydro- sedimentära modeller. Nuvarande brist på kunskap om detta representerar ett stort hinder för utformningen och genomförandet av en integrerad vattenresurshantering av jordbruks avrinningsområden. Förslaget avser direkt utmaning 2 och underämne 2.b av ERA-NET COFUND WaterWorks2015 genom att ta itu med hur ytvattnets kvalité påverkas av översvämningar och bäckfåra sediment i vattendrag från jordbrukets avrinningsområde. Där kan upp till 90% av P från avrinningsområden vara i partikelform inom suspenderade sediment. Lite uppmärksamhet har ägnats åt molekylär nivå biogeokemiska dynamik om hur fosforarter mobiliseras av suspenderade sediment och flodbädd sediment i sådana vattenmiljöer och överförs från land till vatten i avrinning. Vårt projekt syftar till att främja förståelsen av stabilitet och biotillgänglighet av organiskt P och humusbundna P arter i strömmande vatten var algtillväxt försämrar vattenkvalitén.",15,,NULL,(tom),(tom)
